Stage Type,Count,Confidence,Japanese Name,Examples,Notes
"act6d",8,1.000,"","act6d5_06, act6d5_04, act6d5_05, act6d5_03, act6d5_07",""
"act41side",8,1.000,"","act41side_01, act41side_07, act41side_05, act41side_04, act41side_08",""
"act10d",7,1.000,"","act10d5_02, act10d5_05, act10d5_01, act10d5_06, act10d5_07",""
"act8mini",7,1.000,"","act8mini_04, act8mini_03, act8mini_06, act8mini_02, act8mini_01",""
"wk_kc",6,1.000,"","wk_kc_6, wk_kc_5, wk_kc_3, wk_kc_2, wk_kc_1",""
"wk_melee",6,1.000,"","wk_melee_6, wk_melee_4, wk_melee_5, wk_melee_1, wk_melee_2",""
"act9mini",6,1.000,"","act9mini_01, act9mini_02, act9mini_04, act9mini_05, act9mini_06",""
"act7d",6,1.000,"","act7d5_01, act7d5_05, act7d5_04, act7d5_06, act7d5_02",""
"wk_fly",5,1.000,"","wk_fly_3, wk_fly_5, wk_fly_1, wk_fly_4, wk_fly_2",""
"wk_armor",5,1.000,"","wk_armor_3, wk_armor_4, wk_armor_5, wk_armor_1, wk_armor_2",""
"wk_toxic",5,1.000,"","wk_toxic_3, wk_toxic_5, wk_toxic_2, wk_toxic_4, wk_toxic_1",""
"act7mini",5,1.000,"","act7mini_04, act7mini_01, act7mini_03, act7mini_05, act7mini_02",""
"act4d",5,1.000,"","act4d0_03, act4d0_05, act4d0_01, act4d0_04, act4d0_02",""
"activity",1,1.000,"","act24side_gacha",""
"randommaterial",9,0.800,"","randomMaterial_6, randomMaterial_9, randomMaterial_3, randomMaterial_4, randomMaterial_1",""
"a003_f",4,0.800,"","a003_f02_perm, a003_f01_perm, a003_f04_perm, a003_f03_perm",""
"pro_a",2,0.800,"","pro_a_2, pro_a_1",""
"pro_c",2,0.800,"","pro_c_2, pro_c_1",""
"pro_d",2,0.800,"","pro_d_1, pro_d_2",""
"pro_b",2,0.800,"","pro_b_2, pro_b_1",""
"gachabox",1,0.800,"","gachabox6",""
"recruit",1,0.700,"","recruit",""
"a",30,0.600,"","a001_03_perm, a001_02_perm, a001_01_perm, a001_04_perm, a001_05_perm",""
"randommaterialrune",13,0.600,"","randomMaterialRune_11, randomMaterialRune_10, randomMaterialRune_4, randomMaterialRune_12, randomMaterialRune_6",""
"randommaterial_rhine",1,0.600,"","randomMaterial_rhine2",""
"randommaterial_siesta",1,0.600,"","randomMaterial_siesta2",""
